Difficulty, Duration, Deadline, Priority
0,1,30,Low: Level 1
0,1,30,Low: Level 1
0,1,30,Low: Level 1
0,1,31,Low: Level 1
0,1,31,Low: Level 1
0,2,30,Low: Level 1
0,2,30,Low: Level 1
0,2,30,Low: Level 1
0,2,31,Low: Level 1
0,2,31,Low: Level 1
0,3,30,Low: Level 1
0,3,30,Low: Level 1
0,3,30,Low: Level 1
0,3,31,Low: Level 1
0,3,31,Low: Level 1
0,4,30,Low: Level 1
0,4,30,Low: Level 1
0,4,30,Low: Level 1
0,4,31,Low: Level 1
0,4,31,Low: Level 1
0,5,30,Low: Level 1
0,5,30,Low: Level 1
0,5,30,Low: Level 1
0,5,31,Low: Level 1
0,5,31,Low: Level 1
0,6,30,Low: Level 1
0,6,30,Low: Level 1
0,6,30,Low: Level 1
0,6,31,Low: Level 1
0,6,31,Low: Level 1
0,7,30,Low: Level 1
0,7,30,Low: Level 1
0,7,30,Low: Level 1
0,7,31,Low: Level 1
0,7,31,Low: Level 1
0,8,30,Low: Level 1
0,8,30,Low: Level 1
0,8,30,Low: Level 1
0,8,31,Low: Level 1
0,8,31,Low: Level 1
0,9,30,Low: Level 1
0,9,30,Low: Level 1
0,9,30,Low: Level 1
0,9,31,Low: Level 1
0,9,31,Low: Level 1
0,10,30,Low: Level 1
0,10,30,Low: Level 1
0,10,30,Low: Level 1
0,10,31,Low: Level 1
0,10,31,Low: Level 1
0,11,30,Low: Level 1
0,11,30,Low: Level 1
0,11,30,Low: Level 1
0,11,31,Low: Level 1
0,11,31,Low: Level 1
0,12,30,Low: Level 1
0,12,30,Low: Level 1
0,12,30,Low: Level 1
0,12,31,Low: Level 1
0,12,31,Low: Level 1
0,13,30,Low: Level 1
0,13,30,Low: Level 1
0,13,30,Low: Level 1
0,13,31,Low: Level 1
0,13,31,Low: Level 1
0,14,30,Low: Level 1
0,14,30,Low: Level 1
0,14,30,Low: Level 1
0,14,31,Low: Level 1
0,14,31,Low: Level 1
0,15,30,Low: Level 1
0,15,30,Low: Level 1
0,15,30,Low: Level 1
0,15,31,Low: Level 1
0,15,31,Low: Level 1
0,16,30,Low: Level 1
0,16,30,Low: Level 1
0,16,30,Low: Level 1
0,16,31,Low: Level 1
0,16,31,Low: Level 1
0,17,30,Low: Level 1
0,17,30,Low: Level 1
0,17,30,Low: Level 1
0,17,31,Low: Level 1
0,17,31,Low: Level 1
0,18,30,Low: Level 1
0,18,30,Low: Level 1
0,18,30,Low: Level 1
0,18,31,Low: Level 1
0,18,31,Low: Level 1
0,19,30,Low: Level 1
0,19,30,Low: Level 1
0,19,30,Low: Level 1
0,19,31,Low: Level 1
0,19,31,Low: Level 1
0,20,30,Low: Level 1
0,20,30,Low: Level 1
0,20,30,Low: Level 1
0,20,31,Low: Level 1
0,20,31,Low: Level 1
1,1,30,Low: Level 1
1,1,30,Low: Level 1
1,1,30,Low: Level 1
1,1,31,Low: Level 1
1,1,31,Low: Level 1
1,2,30,Low: Level 1
1,2,30,Low: Level 1
1,2,30,Low: Level 1
1,2,31,Low: Level 1
1,2,31,Low: Level 1
1,3,30,Low: Level 1
1,3,30,Low: Level 1
1,3,30,Low: Level 1
1,3,31,Low: Level 1
1,3,31,Low: Level 1
1,4,30,Low: Level 1
1,4,30,Low: Level 1
1,4,30,Low: Level 1
1,4,31,Low: Level 1
1,4,31,Low: Level 1
1,5,30,Low: Level 1
1,5,30,Low: Level 1
1,5,30,Low: Level 1
1,5,31,Low: Level 1
1,5,31,Low: Level 1
1,6,30,Low: Level 1
1,6,30,Low: Level 1
1,6,30,Low: Level 1
1,6,31,Low: Level 1
1,6,31,Low: Level 1
1,7,30,Low: Level 1
1,7,30,Low: Level 1
1,7,30,Low: Level 1
1,7,31,Low: Level 1
1,7,31,Low: Level 1
1,8,30,Low: Level 1
1,8,30,Low: Level 1
1,8,30,Low: Level 1
1,8,31,Low: Level 1
1,8,31,Low: Level 1
1,9,30,Low: Level 1
1,9,30,Low: Level 1
1,9,30,Low: Level 1
1,9,31,Low: Level 1
1,9,31,Low: Level 1
1,10,30,Low: Level 1
1,10,30,Low: Level 1
1,10,30,Low: Level 1
1,10,31,Low: Level 1
1,10,31,Low: Level 1
1,11,30,Low: Level 1
1,11,30,Low: Level 1
1,11,30,Low: Level 1
1,11,31,Low: Level 1
1,11,31,Low: Level 1
1,12,30,Low: Level 1
1,12,30,Low: Level 1
1,12,30,Low: Level 1
1,12,31,Low: Level 1
1,12,31,Low: Level 1
1,13,30,Low: Level 1
